Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1712792644.16,0,0,37.0,24.56447265625,44.687886744355964,1006.3706629504511,57.43326368321838,137258.0
1712792646.08,0,0,37.0,24.599140624999997,44.331175886285635,1006.3183924888469,57.87086779943662,149277.5
1712792648.1,0,0,42.0,24.62697265625,43.99588838608658,1006.2667578602757,58.303166138510925,156778.0
1712792650.1,0,0,38.5,24.66642578125,43.800717811424434,1006.2198591318461,58.69582995594085,163723.5
1712792652.1,0,0,36.0,24.7063671875,43.67331058974794,1006.1737612816868,59.081802944421106,169237.0
1712792654.08,0,0,36.0,24.7346875,43.547724818652355,1006.1332306665702,59.42117385941052,173881.0
1712792656.1,0,0,36.0,24.7673046875,43.398199003668054,1006.1075880776963,59.63588985093875,178767.5
1712792658.1,0,0,25.5,24.83419921875,43.24046522649829,1006.0831251296557,59.84073266369572,181574.0
1712792660.1,0,0,23.0,24.881464843750003,43.06838207653099,1006.0388532891393,60.211457618079734,184249.5
1712792662.1,0,0,27.5,24.90080078125,42.89938712563047,1005.9945055671269,60.582830521963345,186555.5
1712792664.08,0,0,27.5,24.9040234375,42.77451963742568,1005.9577282167306,60.890818529865385,189272.5
1712792666.1,0,0,26.5,24.89689453125,42.80119265063155,1005.9363979478169,61.06945058044833,190804.0
1712792668.1,0,0,24.5,24.86740234375,42.76731838642045,1005.9062148979037,61.32222676969636,193596.5
1712792670.06,0,0,26.0,24.86740234375,42.76731838642045,1005.9062148979037,61.32222676969636,193596.5
1712792672.11,0,0,33.0,24.832636718750003,42.64741932172656,1005.8706902295439,61.61974509607792,196417.5
1712792674.12,0,0,33.0,24.79318359375,42.48746636988531,1005.8505772651652,61.78819455738325,198718.5
1712792676.09,0,0,31.0,24.77013671875,42.37519727664923,1005.8337009096094,61.92953944560544,201871.0
1712792678.1,0,0,29.5,24.746796875,42.299504900611225,1005.8180550604721,62.060579442882265,203048.5
1712792680.1,0,0,29.0,24.74337890625,42.238257252381956,1005.813223799815,62.10104356217634,206025.5
1712792682.08,0,0,29.0,24.7520703125,42.19359494700416,1005.8070589184314,62.15267757865102,207185.0
1712792684.1,0,0,37.0,24.76525390625,42.27114559191887,1005.8161121118555,62.07685257607672,211425.0
1712792686.1,0,0,34.5,24.772578125000003,42.418111312226756,1005.8360461822683,61.909896576754726,212308.0
1712792688.1,0,0,33.5,24.776875,42.38204692392439,1005.8371814408191,61.90038840402939,214309.0
1712792690.1,0,0,34.0,24.767597656249997,42.362731305612485,1005.8294731994314,61.96494768485799,216054.0
1712792692.08,0,0,34.0,24.76310546875,42.340911198320086,1005.8237132740622,62.01318941960102,217051.0
1712792694.11,0,0,36.5,24.76935546875,42.45127361796065,1005.821221550495,62.03405862730807,217691.5
1712792696.1,0,0,33.0,24.78419921875,42.58097586804932,1005.7960625153999,62.244779231049215,219643.5
1712792698.1,0,0,32.5,24.810078125,44.21426105729346,1005.7273578533108,62.820247395416544,219279.5
1712792700.08,0,0,32.5,24.8548046875,46.43385765915856,1005.5833802992729,64.02629023229997,219210.0
1712792702.1,0,0,26.5,24.94142578125,44.620277950095584,1005.5718863325474,64.12256727885965,220816.5
1712792704.1,0,0,33.5,25.02033203125,42.97105459609807,1005.7014920291687,63.03689623071652,221337.0
1712792706.1,0,0,29.0,25.09142578125,42.92107460337599,1005.7948707312214,62.25476193161455,221190.0
1712792708.1,0,0,37.0,25.1346875,42.84653173585488,1005.8341812704531,61.92551641724752,222601.0
1712792710.08,0,0,37.0,25.1719921875,42.64615277814051,1005.9005722279799,61.36948331311789,224039.0
1712792712.1,0,0,31.0,25.2126171875,42.64770536730878,1005.9191417707405,61.21396657653814,224491.0
1712792714.1,0,0,31.0,25.24357421875,42.93229820924789,1005.9465709570361,60.98425554279632,226029.0
1712792716.1,0,0,29.0,25.24806640625,42.65783025278817,1006.0117024472207,60.438820254657145,227660.5
1712792718.1,0,0,35.0,25.26076171875,42.35740908695976,1006.0543464664897,60.08171975992734,228056.0
1712792720.06,0,0,35.0,25.26076171875,42.35740908695976,1006.0543464664897,60.08171975992734,228056.0
1712792722.1,0,0,27.5,25.271601562500003,42.24279764781254,1006.1085324628752,59.627982032490564,228211.0
1712792724.1,0,0,24.0,25.2784375,42.24965608923388,1006.137122487736,59.388586096056684,229319.0
1712792726.09,0,0,34.5,25.28498046875,42.43626493876439,1006.1264993376444,59.477537892825694,228842.0
1712792728.08,0,0,34.5,25.29669921875,42.98281203364118,1006.0909279174473,59.7753976483054,229877.0
1712792730.1,0,0,29.0,25.284199218749997,42.17723671801845,1006.0933573872613,59.75505161106943,233283.0
1712792732.1,0,0,35.5,25.25080078125,43.59680826245835,1006.0369067992739,60.227767022358606,233695.5
1712792734.1,0,0,33.0,25.23107421875,42.01005148819007,1006.0238637294802,60.33697995324924,233778.5
1712792736.11,0,0,43.0,25.214375,41.36789491651663,1006.153536171643,59.251153389254966,234774.0
1712792738.08,0,0,43.0,25.199238281249997,41.538887728268776,1006.2453612881443,58.4823090816964,234616.0
1712792740.1,0,0,31.0,25.19220703125,41.61695391555466,1006.2861429616597,58.14086644996824,234691.0
1712792742.1,0,0,26.5,25.18263671875,41.618922850676114,1006.3063474781468,57.97170944622107,234194.5
1712792744.11,0,0,42.5,25.18263671875,41.706915157789936,1006.3089288233791,57.95009793987428,233861.5
1712792746.1,0,0,43.5,25.179609375,41.782465685272015,1006.2952837898372,58.06433684521322,233860.5
1712792748.09,0,0,43.5,25.1723828125,41.839356558277075,1006.3013205275424,58.013795924233705,234441.0
