Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1712798358.1,0,0,38.5,21.2317578125,47.67307170170414,1008.2257518157551,41.91452626765393,353725.0
1712798360.06,0,0,41.0,21.2565625,47.04247051504548,1009.078181478922,34.79145968423191,33184.0
1712798362.1,0,0,41.0,21.369453125,46.84410409172638,1009.7773699474474,28.952270664814385,63624.5
1712798364.07,0,0,36.5,21.445332031249997,46.65396633054385,1010.1887487077818,25.51826183039037,92328.5
1712798366.07,0,0,39.0,21.486835937499997,46.46309187089925,1010.4295440308892,23.508737543827923,118392.5
1712798368.06,0,0,40.5,21.50470703125,46.102175334763146,1010.5536724019347,22.472996774146498,140899.0
1712798370.06,0,0,39.5,21.4989453125,45.98066404620614,1010.6475413555199,21.689813915596595,160757.5
1712798372.02,0,0,39.5,21.4989453125,45.98066404620614,1010.6475413555199,21.689813915596595,160757.5
1712798374.06,0,0,44.0,21.4622265625,45.93302932274025,1010.7116764469946,21.154745305171335,178665.0
1712798376.07,0,0,46.0,21.41271484375,45.96132130889538,1010.7414815835277,20.90609542932632,191935.5
1712798378.07,0,0,35.0,21.37892578125,46.025518249583655,1010.7574646429234,20.772758843987194,206010.0
1712798380.04,0,0,35.0,21.360859375,46.11635856137616,1010.7647688053021,20.711825457104553,219776.5
1712798382.07,0,0,38.5,21.35275390625,46.11231329793761,1010.7622784739116,20.732600456619256,230795.0
1712798384.06,0,0,48.5,21.35080078125,46.06250984336772,1010.7615649715101,20.73855272254851,240785.5
1712798386.07,0,0,48.0,21.345234374999997,45.99681479482479,1010.76590501832,20.702346885811515,249863.5
1712798388.06,0,0,40.5,21.34494140625,45.916281428738564,1010.7679795783889,20.685040403141244,259274.5
1712798390.05,0,0,40.5,21.3442578125,45.81408492587642,1010.7608428804558,20.744576578731717,266803.5
1712798392.06,0,0,35.5,21.3469921875,45.73398875003039,1010.7620129655353,20.73481540248411,273089.0
1712798394.07,0,0,44.5,21.35265625,45.70682438604737,1010.770669790953,20.66259804635656,281232.5
1712798396.07,0,0,43.5,21.35861328125,45.64568567446145,1010.781529709885,20.57200269124759,287205.5
1712798398.07,0,0,44.0,21.3712109375,45.68424521110293,1010.7881422077327,20.516840398394365,289838.0
1712798400.04,0,0,44.0,21.377558593750003,45.654061452361,1010.7902469345147,20.49928257533488,294881.5
1712798402.06,0,0,40.5,21.3751171875,45.718698237147514,1010.7998358079158,20.419291689098074,300240.0
1712798404.07,0,0,54.5,21.37482421875,45.758863321197424,1010.8164550391773,20.28065469245653,303692.0
1712798406.06,0,0,55.0,21.37150390625,45.891533113962836,1010.831412109371,20.155884888210657,304662.0
1712798408.06,0,0,55.0,21.3657421875,46.213065846793626,1010.8593796789256,19.922587522861036,307068.0
1712798410.06,0,0,38.5,21.3719921875,46.62981005369709,1010.8861325146613,19.699427699087863,308788.0
1712798412.06,0,0,44.5,21.383906250000003,47.05136333434068,1010.9104210292654,19.496828684626593,310092.5
1712798414.06,0,0,36.0,21.3923046875,47.24875393994201,1010.9219602035897,19.400577273048597,318011.5
1712798416.06,0,0,37.0,21.4012890625,47.10015670747963,1010.920793901096,19.4103056462353,323442.5
1712798418.05,0,0,37.0,21.41193359375,46.824230651833915,1010.9121481467591,19.482421996224083,327446.5
1712798420.07,0,0,42.0,21.41994140625,46.52046124391556,1010.9093407562902,19.505839194244945,332720.0
1712798422.04,0,0,42.0,21.41994140625,46.52046124391556,1010.9093407562902,19.505839194244945,332720.0
1712798424.09,0,0,40.5,21.42677734375,46.19227785515223,1010.900286647209,19.581362566958916,336447.5
1712798426.06,0,0,40.5,21.43341796875,45.88325905452302,1010.8943266971288,19.63107655642306,337821.5
1712798428.06,0,0,36.0,21.44171875,45.612055830374565,1010.8945771971004,19.628987051569027,337821.5
1712798430.07,0,0,47.0,21.44923828125,45.418341132781336,1010.9046389593684,19.545058317599015,339558.0
1712798432.07,0,0,37.0,21.45685546875,45.29887186899214,1010.9080193224635,19.516861689596084,340961.5
1712798434.07,0,0,38.0,21.4716015625,45.24813851897234,1010.9302176811321,19.331700365562625,341309.0
1712798436.06,0,0,38.0,21.4786328125,45.16262318005752,1010.9428820693513,19.22606519455247,343613.5
1712798438.07,0,0,41.5,21.479511718749997,45.119576585605046,1010.9546266521928,19.128103419306193,346140.0
1712798440.06,0,0,40.5,21.4841015625,45.206411751804154,1010.9666137816224,19.028119328112854,345408.5
1712798442.07,0,0,45.0,21.4794140625,45.3662718496248,1010.9741438471422,18.96531190808235,349429.5
1712798444.06,0,0,38.0,21.46759765625,45.52235986604836,1010.9833915433235,18.888178506906584,351096.5
1712798446.08,0,0,38.0,21.45470703125,45.6568224991257,1010.9848443467542,18.876060970276185,351096.5
1712798448.07,0,0,43.5,21.45265625,45.832875581659806,1010.984822593181,18.876242406740097,352413.0
1712798450.07,0,0,40.5,21.46173828125,45.945358959470184,1010.9915198074691,18.820382590635152,353348.5
1712798452.07,0,0,46.0,21.471796875,46.00537264675482,1011.002424140571,18.729432808032016,357165.0
1712798454.05,0,0,46.0,21.4696484375,45.95866777928972,1011.0116510523007,18.652474453179067,361065.0
1712798456.08,0,0,36.0,21.4503125,45.81403527173205,1011.0330817691138,18.473730954549396,364248.5
1712798458.07,0,0,41.5,21.433710937500003,45.64820868380815,1011.0753598528479,18.121118749891654,366676.5
1712798460.07,0,0,41.5,21.398359375,45.474210958684836,1011.0981158310469,17.93133076643608,370789.5
1712798462.07,0,0,38.5,21.3462109375,45.3262334703066,1011.0977789662207,17.934140286513866,373087.5
